0,artist_pop,genres
0ypTT9UqAU5sZpPo5JZmjR,35,british_singer-songwriter
0,artist_pop,genres
0h3YCmvRJ2jqt4jFiR6nGL,53,norwegian_pop
0,artist_pop,genres
6VDdCwrBM4qQaGxoAyxyJC,59,indie_rock modern_alternative_rock modern_rock piano_rock stomp_and_holler
0,artist_pop,genres
4uNv6RD2YXwoaKgHfJZkkL,61,indie_electropop indie_poptimism
0,artist_pop,genres
3TVXtAsR1Inumwj472S9r4,96,canadian_hip_hop canadian_pop hip_hop rap toronto_rap
0,artist_pop,genres
1G0YV9WooUBjrwDq0Q7EFK,60,canadian_pop indie_quebecois
0,artist_pop,genres
4dpARuHxo51G3z768sgnrY,86,british_soul pop pop_soul uk_pop
0,artist_pop,genres
4S3VOqqGguEZu3vbJMig4t,57,unknown
0,artist_pop,genres
4dwdTW1Lfiq0cM8nBAqIIz,68,folk-pop metropopolis modern_rock stomp_and_holler
0,artist_pop,genres
5r5Va4lVQ1zjEfbJSrmCsS,54,auckland_indie etherpop indietronica metropopolis nz_pop
0,artist_pop,genres
4uf9PIXkZQTXqzl5gyDJLj,30,unknown
0,artist_pop,genres
1KCSPY1glIKqW2TotWuXOR,82,dance_pop pop
0,artist_pop,genres
6y5amJcTjeDgLXIjtQLMst,57,r&b
0,artist_pop,genres
66lH4jAE7pqPlOlzUKbwA0,72,contemporary_country country country_dawn country_road
0,artist_pop,genres
3DiDSECUqqY1AuBP8qtaIa,78,neo_soul pop r&b
0,artist_pop,genres
6vWDO969PvNqNYHIOW5v0m,86,pop r&b
0,artist_pop,genres
02kJSzxNuaWGqwubyUba0Z,75,indie_pop_rap oakland_hip_hop pop_rap rap
0,artist_pop,genres
56tbeL5xhBPxby544GuK3E,49,nyc_pop pittsburgh_indie
0,artist_pop,genres
0XZFE8OLIWVaJ6Kns5DmbH,28,ann_arbor_indie
0,artist_pop,genres
39xmI59WrIMyyJjSDq6WCu,60,ccm christian_alternative_rock christian_music worship
0,artist_pop,genres
5mfZhLczjYLDRjGDjfenye,15,unknown
0,artist_pop,genres
33DzUXjWGCvmzlXCpVliT0,0,unknown
0,artist_pop,genres
3GDAPdQP9OYzIlhd7HkbJj,28,indiecoustica
0,artist_pop,genres
6WY7D3jk8zTrHtmkqqo5GI,72,classic_texas_country contemporary_country
0,artist_pop,genres
4WEktD91o6r6F9IpCuPOf9,10,deep_talent_show
0,artist_pop,genres
5QSx2vpiSchSeCwc0qmfNI,37,indie_poptimism
0,artist_pop,genres
7sfgqEdoeBTjd8lQsPT3Cy,64,r&b talent_show
0,artist_pop,genres
20gsENnposVs2I4rQ5kvrf,73,edm pop_dance tropical_house
0,artist_pop,genres
0B3N0ZINFWvizfa8bKiz4v,65,unknown
0,artist_pop,genres
2wUjUUtkb5lvLKcGKsKqsR,74,canadian_contemporary_r&b canadian_pop pop
0,artist_pop,genres
3NPpFNZtSTHheNBaWC82rB,73,modern_alternative_rock modern_rock stomp_pop
0,artist_pop,genres
50JJSqHUf2RQ9xsHs0KMHg,66,indie_pop_rap
0,artist_pop,genres
3flTDj1VSZCktpBGZlNutt,28,unknown
0,artist_pop,genres
7m4gF38CPATtHrk5HS42WZ,63,ccm christian_music world_worship worship
0,artist_pop,genres
1Xylc3o4UrD53lo9CvFvVg,76,pop scandipop swedish_electropop swedish_pop
0,artist_pop,genres
4YLQaW1UU3mrVetC8gNkg5,55,edm electro_house mashup pop_dance progressive_electro_house progressive_house
0,artist_pop,genres
3CygdxquGHurS7f9LjNLkv,65,contemporary_country country country_dawn country_road
0,artist_pop,genres
7lWm7B37N2Phj7l1bpEx91,28,british_soul indie_anthem-folk
0,artist_pop,genres
23fqKkggKUBHNkbKtXEls4,80,edm pop pop_dance tropical_house
0,artist_pop,genres
246dkjvS1zLTtiykXe5h60,89,dfw_rap melodic_rap pop rap
0,artist_pop,genres
